epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72169,1.63604,4.81993,1.32562,0,0,0,0,1.80454,4.57799,0.94041,8e-05,8e-05,8e-05
2,5.55411,1.28334,4.43429,1.14109,0.00111,0.2381,0.00121,0.00073,1.34998,3.96982,0.78825,0.000178218,0.000178218,0.000178218
3,6.92269,1.21271,3.63815,0.94272,0.00289,0.61905,0.02752,0.01405,1.8063,3.91307,0.80347,0.000274456,0.000274456,0.000274456
4,8.09186,1.41871,3.10547,0.91913,0.00333,0.71429,0.08183,0.04074,1.53331,3.91706,0.80804,0.000368714,0.000368714,0.000368714
5,9.26231,1.56106,2.81938,1.03844,0.00311,0.66667,0.05232,0.02952,1.34516,3.87996,0.77094,0.000460992,0.000460992,0.000460992
6,10.4299,1.43723,2.71064,0.93502,0.00289,0.61905,0.0103,0.00576,1.43187,3.9147,0.76818,0.00055129,0.00055129,0.00055129
7,11.5811,1.47349,2.73444,0.9163,0.00178,0.38095,0.00275,0.00087,1.49553,4.0132,0.78258,0.000639608,0.000639608,0.000639608
8,12.6447,1.40825,2.47136,1.00048,0.00111,0.2381,0.0013,0.00045,1.55005,4.06444,0.80837,0.000725946,0.000725946,0.000725946
9,13.6815,1.45189,2.3635,1.03725,0.00178,0.38095,0.00237,0.00065,2.04487,4.10947,0.90574,0.000810304,0.000810304,0.000810304
10,14.7804,1.54196,2.34073,1.12686,0.00178,0.38095,0.00256,0.00077,1.69988,3.91767,0.80227,0.000892682,0.000892682,0.000892682
11,15.9838,1.56962,2.98758,1.04631,0.00222,0.47619,0.00333,0.00107,1.60548,3.75389,0.79731,0.00097308,0.00097308,0.00097308
12,17.0545,1.77136,2.72655,1.41032,0.00289,0.61905,0.00683,0.00425,1.56966,3.64202,0.76962,0.0010515,0.0010515,0.0010515
13,18.0259,1.57564,3.75757,0.98989,0.00333,0.71429,0.00687,0.00437,1.52926,3.63632,0.77839,0.00112794,0.00112794,0.00112794
14,19.1079,1.39215,2.08378,1.02255,0.00333,0.71429,0.01176,0.00757,1.4278,3.61901,0.80793,0.00120239,0.00120239,0.00120239
15,20.2013,1.23085,1.9791,1.01567,0.00289,0.61905,0.06577,0.04489,1.7258,3.68107,0.81368,0.00127487,0.00127487,0.00127487
16,21.2402,1.18274,3.04871,0.84258,0.23293,0.09524,0.09809,0.07279,1.62333,3.66273,0.80704,0.00134537,0.00134537,0.00134537
17,22.3379,1.39652,2.15852,1.06279,1,0.12179,0.29676,0.18156,1.37377,3.25493,0.77693,0.00141389,0.00141389,0.00141389
18,23.3708,1.26419,1.99562,0.92376,1,0.12768,0.44639,0.25595,1.46506,2.98339,0.79446,0.00148043,0.00148043,0.00148043
19,24.3785,1.124,1.84955,0.95089,0.72834,0.13048,0.46945,0.26985,1.41739,2.78461,0.79311,0.00154498,0.00154498,0.00154498
20,25.372,1.48103,1.98931,1.05368,0.65158,0.52381,0.62226,0.41161,1.51505,2.41341,0.78548,0.00160756,0.00160756,0.00160756
21,26.3508,1.26525,1.72647,0.94114,0.42061,0.42857,0.41726,0.25662,1.50295,2.49451,0.79818,0.001604,0.001604,0.001604
22,27.4254,1.34675,1.89961,1.09962,0.62569,0.52381,0.51789,0.31719,1.4666,2.56666,0.79359,0.0015842,0.0015842,0.0015842
23,28.543,1.44579,2.09076,0.92096,0.41218,0.43429,0.40339,0.24284,1.41368,2.48244,0.79081,0.0015644,0.0015644,0.0015644
24,29.6742,1.37034,1.74469,1.03155,0.64522,0.51985,0.54307,0.3483,1.31173,2.34509,0.76424,0.0015446,0.0015446,0.0015446
25,30.7361,1.14159,1.48174,0.94306,0.58857,0.47689,0.54308,0.31443,1.42463,2.27048,0.77216,0.0015248,0.0015248,0.0015248
26,31.7505,1.49743,1.72787,0.99825,0.68561,0.62327,0.65954,0.40098,1.38857,2.08271,0.77156,0.001505,0.001505,0.001505
27,32.8801,1.38194,1.6027,1.02315,0.94513,0.71429,0.8516,0.55143,1.26156,1.77395,0.76449,0.0014852,0.0014852,0.0014852
28,34.0227,1.21972,1.43713,0.94989,0.89685,0.82863,0.92457,0.54514,1.33946,1.41207,0.77194,0.0014654,0.0014654,0.0014654
29,35.0456,1.21664,1.46702,0.98284,0.89541,0.90476,0.9384,0.5189,1.3113,1.38746,0.77259,0.0014456,0.0014456,0.0014456
30,36.133,1.11117,1.296,0.96323,0.9027,0.88411,0.91576,0.53955,1.31064,1.41934,0.77442,0.0014258,0.0014258,0.0014258
31,37.1417,1.20511,1.36914,0.93653,0.71574,0.95939,0.89584,0.52973,1.27926,1.38288,0.76363,0.001406,0.001406,0.001406
32,38.271,0.96338,1.96837,0.73874,0.6844,0.95238,0.86049,0.47445,1.38843,1.28713,0.7737,0.0013862,0.0013862,0.0013862
33,39.3073,1.2262,1.44175,0.96665,0.71773,0.7619,0.8536,0.53054,1.28046,1.28251,0.75173,0.0013664,0.0013664,0.0013664
34,40.3541,1.07953,1.35047,0.96023,0.80341,0.77898,0.8556,0.54935,1.2437,1.30432,0.74933,0.0013466,0.0013466,0.0013466
35,41.3728,1.10687,1.23309,0.99995,0.87372,0.65938,0.83966,0.54937,1.24945,1.42539,0.75311,0.0013268,0.0013268,0.0013268
36,42.5324,1.15639,1.37023,0.99733,0.89359,0.80017,0.85028,0.57383,1.16678,1.37199,0.75016,0.001307,0.001307,0.001307
37,43.6746,1.09839,1.27313,0.99303,0.7983,0.90476,0.9227,0.62164,1.13813,1.07945,0.75245,0.0012872,0.0012872,0.0012872
38,44.7938,1.40195,1.34544,0.93128,0.90053,0.90476,0.93773,0.59879,1.16868,1.0088,0.7506,0.0012674,0.0012674,0.0012674
39,45.858,1.18902,1.15522,0.87852,0.86151,0.90476,0.92954,0.59458,1.17882,1.05579,0.75071,0.0012476,0.0012476,0.0012476
40,46.9569,1.15942,1.30403,0.98916,0.81265,0.85714,0.91326,0.60112,1.18961,0.97536,0.75855,0.0012278,0.0012278,0.0012278
41,47.9575,1.14369,1.21596,0.89025,0.99312,0.85714,0.9455,0.65422,1.18082,1.01232,0.75488,0.001208,0.001208,0.001208
42,49.02,1.22008,1.28198,0.98526,0.93967,0.74238,0.90293,0.66065,1.02999,1.08383,0.74528,0.0011882,0.0011882,0.0011882
43,50.03,1.16691,1.20579,0.94794,0.76807,0.85714,0.91188,0.6539,1.0216,1.10567,0.73874,0.0011684,0.0011684,0.0011684
44,51.0407,1.01615,1.11937,0.90286,0.94304,0.78906,0.94703,0.73534,0.925,0.95965,0.73229,0.0011486,0.0011486,0.0011486
45,52.0877,1.12411,1.04285,0.89321,0.90214,0.87857,0.9703,0.69597,0.97641,0.8968,0.73358,0.0011288,0.0011288,0.0011288
46,53.1307,1.11874,1.174,0.92965,0.90549,0.91277,0.97951,0.67401,1.03521,0.94491,0.73945,0.001109,0.001109,0.001109
47,54.2179,1.09054,1.08945,0.94548,0.90676,0.9267,0.98026,0.64639,1.1257,1.00911,0.74684,0.0010892,0.0010892,0.0010892
48,55.3452,0.97019,1.0941,0.91102,0.8948,0.95238,0.97414,0.63173,1.23998,0.95438,0.73717,0.0010694,0.0010694,0.0010694
49,56.4253,1.06911,1.01097,0.9675,0.86831,0.94233,0.94702,0.62334,1.17727,0.93739,0.7446,0.0010496,0.0010496,0.0010496
50,57.4299,1.06141,1.08332,0.91241,0.85037,0.90476,0.93839,0.58608,1.217,1.00244,0.75786,0.0010298,0.0010298,0.0010298
51,58.5378,1.03181,1.00593,0.9005,0.78459,0.95238,0.92747,0.55908,1.31983,1.05635,0.76671,0.00101,0.00101,0.00101
52,59.7595,1.12704,1.1514,0.91156,0.9387,0.90476,0.95299,0.66575,1.00598,0.83381,0.75214,0.0009902,0.0009902,0.0009902
53,60.7767,1.12277,1.0732,0.92244,0.90293,0.88648,0.94133,0.69343,1.02467,0.81688,0.74409,0.0009704,0.0009704,0.0009704
54,61.7199,0.82061,1.25491,0.72335,0.81532,0.84143,0.92528,0.65035,1.09827,0.86243,0.74697,0.0009506,0.0009506,0.0009506
55,62.6962,0.91111,0.9627,0.88962,0.98728,0.66667,0.89639,0.63173,1.08505,0.9136,0.74908,0.0009308,0.0009308,0.0009308
56,63.7547,1.06824,0.95334,0.88303,0.92955,0.7619,0.93789,0.65597,1.06671,0.87165,0.74919,0.000911,0.000911,0.000911
57,64.849,1.16885,1.07624,0.97117,0.83181,0.94236,0.94673,0.66231,0.99056,0.77802,0.74384,0.0008912,0.0008912,0.0008912
58,65.8587,1.04581,1.08031,0.93749,0.90345,0.89163,0.94675,0.6789,1.01224,0.78385,0.73715,0.0008714,0.0008714,0.0008714
59,66.9283,1.0015,0.94425,0.88009,0.9419,0.85714,0.9486,0.68295,1.01787,0.77995,0.73168,0.0008516,0.0008516,0.0008516
60,68.0045,0.73952,1.23122,0.74356,0.93983,0.85714,0.97129,0.66496,1.08461,0.75903,0.74105,0.0008318,0.0008318,0.0008318
